,Name,GP,FGA,FG_percent,3P Made,3P_percent,FTM,FT_percent,OREB,AST,STL,BLK,TOV,TARGET
0,Brandon Ingram,36,7.6,34.7,0.5,25.0,1.6,69.9,0.7,1.9,0.4,0.4,1.3,0
1,Andrew Harrison,35,6.7,29.6,0.7,23.5,2.6,76.5,0.5,3.7,1.1,0.5,1.6,0
2,JaKarr Sampson,74,4.7,42.2,0.4,24.4,0.9,67.0,0.5,1.0,0.5,0.3,1.0,0
3,Malik Sealy,58,5.5,42.6,0.1,22.6,0.9,68.9,1.0,0.8,0.6,0.1,1.0,1
4,Matt Geiger,48,3.0,52.4,0.0,0.0,1.3,67.4,1.0,0.3,0.3,0.4,0.8,1
5,Tony Bennett,75,3.5,42.3,0.3,32.5,0.4,73.2,0.2,1.8,0.4,0.0,0.7,0
6,Don MacLean,62,5.8,43.5,0.0,50.0,1.5,81.1,0.5,0.6,0.2,0.1,0.7,1
7,Tracy Murray,48,5.4,41.5,0.4,30.0,0.7,87.5,0.8,0.2,0.2,0.1,0.7,1
8,Duane Cooper,65,2.4,39.2,0.1,23.3,0.4,71.4,0.2,2.3,0.3,0.0,1.1,0
9,Dave Johnson,42,3.5,38.3,0.1,21.4,1.0,67.8,0.4,0.3,0.2,0.0,0.7,0
10,Corey Williams,35,2.4,36.5,0.0,33.3,0.5,81.8,0.5,0.7,0.1,0.1,0.3,0
11,Sam Mack,40,3.0,39.8,0.1,13.6,1.1,77.6,0.5,0.4,0.3,0.1,0.6,1
12,Lorenzo Williams,27,1.3,47.2,0.0,0.0,0.1,28.6,0.6,0.2,0.2,0.6,0.3,1
13,P.J. Hairston,45,6.0,32.3,1.1,30.1,0.7,86.1,0.5,0.5,0.5,0.3,0.5,0
14,Elmore Spencer,44,1.9,53.7,0.0,0.0,0.4,50.0,0.4,0.2,0.2,0.4,0.6,1
15,John Crotty,40,1.8,51.4,0.1,14.3,0.7,68.4,0.1,1.4,0.3,0.0,0.8,1
16,Stephen Howard,49,1.9,37.6,0.0,0.0,0.7,64.2,0.5,0.2,0.3,0.2,0.5,0
17,Randy Woods,41,1.6,34.8,0.1,21.4,0.5,73.1,0.1,1.0,0.3,0.0,0.4,0
18,Larry Johnson,82,15.3,49.0,0.1,22.7,4.1,82.9,3.9,3.6,1.0,0.6,1.9,0
19,Larry Johnson,82,15.3,49.0,0.1,22.7,4.1,82.9,3.9,3.6,1.0,0.6,1.9,1
20,Billy Owens,80,11.1,52.5,0.0,11.1,2.6,65.4,3.0,2.4,1.1,0.8,2.2,1
21,Stacey Augmon,82,11.0,48.9,0.0,16.7,2.6,66.6,2.3,2.5,1.5,0.3,2.2,1
22,Mark Macon,76,11.7,37.5,0.1,13.3,1.8,73.0,1.1,2.2,2.0,0.2,2.0,1
23,Steven Smith,61,10.7,45.4,0.7,32.0,1.6,74.8,1.3,4.6,1.0,0.3,2.5,0
24,Mitch McGary,32,5.2,53.3,0.0,0.0,0.8,62.5,1.7,0.4,0.5,0.5,1.0,0
25,Larry Stewart,76,7.8,51.4,0.0,0.0,2.5,80.7,2.4,1.6,0.7,0.6,1.5,1
26,Mike Iuzzolino,52,6.8,45.1,1.1,43.4,2.1,83.6,0.5,3.7,0.6,0.0,1.8,0
27,Doug Smith,76,9.2,41.5,0.0,0.0,1.2,73.6,1.7,1.7,0.8,0.5,1.3,1
28,Paul Graham,78,8.7,44.7,0.7,39.0,1.6,74.1,0.9,2.2,1.2,0.3,1.2,0
29,Donald Hodge,51,6.4,49.7,0.0,0.0,2.0,66.7,2.3,0.8,0.5,0.5,1.5,1
30,Dale Davis,64,4.4,55.2,0.0,0.0,1.4,57.2,2.5,0.5,0.4,1.2,0.8,1
31,Stanley Roberts,55,8.1,52.9,0.0,0.0,1.8,51.5,2.1,0.7,0.4,1.5,1.4,1
32,Terrell Brandon,82,7.3,41.9,0.0,4.3,1.2,80.6,0.6,3.9,1.0,0.3,1.7,1
33,Bison Dele,48,6.8,52.8,0.0,0.0,2.0,66.9,2.4,0.7,0.8,1.1,1.8,1
34,Spencer Dinwiddie,34,5.0,30.2,0.4,18.5,0.9,91.2,0.1,3.1,0.6,0.2,1.0,0
35,Tracy Moore,42,7.7,40.0,0.7,35.7,1.5,83.3,0.7,1.1,0.8,0.1,1.1,1
36,Greg Anthony,82,5.3,37.0,0.1,14.5,1.4,74.1,0.4,3.8,0.7,0.1,1.2,1
37,Kenny Anderson,64,7.5,39.0,0.0,23.1,1.1,74.5,0.6,3.2,1.1,0.1,1.5,1
38,Victor Alexander,80,5.7,52.9,0.0,0.0,1.3,69.1,1.3,0.4,0.6,0.8,1.1,1
39,David Benoit,77,4.9,46.7,0.0,21.4,1.1,81.0,1.4,0.4,0.3,0.6,0.9,1
40,Kevin Lynch,55,4.1,41.7,0.1,37.5,0.6,76.1,0.5,1.5,0.7,0.2,0.8,0
41,LaBradford Smith,48,5.1,40.7,0.0,9.5,0.9,80.4,0.6,2.1,0.9,0.0,1.3,0
42,Chris Corchiani,51,3.8,39.9,0.2,27.0,1.8,87.5,0.4,2.8,0.9,0.0,1.4,0
43,Travis Wear,51,4.1,40.2,0.2,36.7,0.4,76.9,0.6,0.8,0.3,0.2,0.7,0
44,Robert Pack,72,3.8,42.3,0.0,0.0,1.4,80.3,0.4,1.9,0.6,0.1,1.3,1
45,Pete Chilcutt,69,3.6,45.2,0.0,100.0,0.3,82.1,1.1,0.6,0.5,0.3,0.6,1
46,Chris Gatling,54,3.8,56.8,0.0,0.0,1.3,66.1,1.4,0.3,0.6,0.7,0.8,1
47,Tharon Mayes,24,4.1,30.3,0.6,36.6,1.0,66.7,0.1,1.5,0.7,0.1,1.3,0
48,Eric Murdock,50,3.7,41.5,0.1,19.2,0.9,75.4,0.4,1.8,0.6,0.1,1.0,1
49,Randy Brown,56,3.0,45.6,0.0,0.0,0.7,65.5,0.5,1.1,0.6,0.2,0.8,1
50,Greg Sutton,67,3.6,38.8,0.4,29.2,0.5,75.6,0.1,1.4,0.4,0.1,1.0,0
51,Elliot Perry,50,2.6,38.0,0.0,14.3,0.5,65.9,0.3,1.6,0.7,0.1,1.0,1
52,Marty Conlon,45,2.2,47.5,0.0,0.0,0.5,75.0,0.7,0.3,0.2,0.2,0.6,1
53,Rodney Monroe,38,3.8,36.8,0.2,22.2,0.5,82.6,0.3,0.7,0.3,0.1,0.6,0
54,John Turner,42,2.3,43.9,0.0,0.0,0.7,52.5,0.9,0.3,0.1,0.1,0.8,0
55,Mark Randall,54,2.8,45.6,0.1,18.8,0.6,74.4,0.7,0.6,0.2,0.1,0.5,0
56,Sean Green,35,4.5,39.2,0.1,20.0,0.4,53.6,0.6,0.6,0.4,0.2,0.8,0
57,Kevin Brooks,37,2.6,44.3,0.1,18.2,0.5,81.0,0.4,0.3,0.2,0.1,0.5,0
58,Doug Lee,46,2.5,43.1,0.2,27.0,0.2,52.6,0.4,0.5,0.2,0.0,0.3,0
59,Corey Crowder,51,2.2,38.4,0.3,43.3,0.3,83.3,0.3,0.3,0.1,0.0,0.3,0
60,Rich King,40,1.8,38.0,0.0,0.0,0.9,75.6,0.5,0.3,0.1,0.1,0.5,0
61,Stephen Thompson,19,1.9,37.8,0.0,0.0,0.2,37.5,0.6,0.4,0.3,0.2,0.3,0
62,Charles Thomas,36,1.4,35.3,0.1,11.8,0.3,66.7,0.2,0.6,0.1,0.0,0.5,0
63,Lionel Simmons,79,16.5,42.2,0.0,27.3,4.1,73.6,2.4,4.0,1.4,1.1,2.9,1
64,Gary Harris,55,3.9,30.4,0.4,20.4,0.6,74.5,0.4,0.5,0.7,0.1,0.7,0
65,Derrick Coleman,74,14.9,46.7,0.2,34.2,4.4,73.1,3.6,2.2,1.0,1.3,2.9,1
66,Travis Mays,64,11.3,40.6,1.1,36.5,4.0,77.0,0.8,4.0,1.3,0.2,2.5,0
67,Dennis Scott,82,14.4,42.5,1.5,37.4,1.9,75.0,0.8,1.6,0.8,0.3,1.6,1
68,Gary Payton*,82,7.0,45.0,0.0,7.7,0.8,71.1,1.3,6.4,2.0,0.2,2.2,1
69,Felton Spencer,81,4.7,51.2,0.0,0.0,2.2,72.2,3.4,0.3,0.6,1.5,0.9,1
70,Willie Burton,76,10.2,44.1,0.1,13.3,3.0,78.2,1.5,1.4,0.9,0.3,1.9,1
71,Dee Brown,82,7.5,46.4,0.1,20.6,1.7,87.3,0.5,4.2,1.0,0.2,1.7,0
72,Dee Brown,82,7.5,46.4,0.1,20.6,1.7,87.3,0.5,4.2,1.0,0.2,1.7,1
73,Dee Brown,49,2.0,32.7,0.1,21.4,0.5,64.9,0.2,1.7,0.5,0.1,0.6,0
74,Dee Brown,49,2.0,32.7,0.1,21.4,0.5,64.9,0.2,1.7,0.5,0.1,0.6,1
75,Kendall Gill,82,10.2,45.0,0.0,14.3,1.9,83.5,1.3,3.7,1.3,0.5,2.0,1
76,Duane Causwell,76,5.4,50.8,0.0,0.0,1.4,63.6,1.9,0.9,0.6,1.9,1.3,1
77,Mahmoud Abdul-Rauf,67,15.1,41.3,0.4,24.0,1.3,85.7,0.5,3.1,0.8,0.1,1.6,1
78,A.J. English,70,8.2,43.9,0.0,9.7,1.6,70.7,0.9,2.5,0.4,0.2,1.6,0
79,Danny Ferry,81,7.9,42.8,0.3,29.9,1.5,81.6,1.2,1.8,0.5,0.3,1.5,1
80,Mario Elie,33,4.8,49.7,0.1,40.0,2.3,84.3,1.4,1.4,0.6,0.3,0.9,1
81,Anthony Cook,58,4.9,41.7,0.0,0.0,1.2,55.0,2.3,0.4,0.6,1.2,0.9,0
82,Gerald Paddio,70,7.2,41.9,0.1,25.0,1.1,79.6,0.5,1.3,0.3,0.1,1.0,0
83,Bimbo Coles,82,4.8,41.2,0.1,17.6,0.9,74.7,0.7,2.8,0.8,0.1,1.2,1
84,Bo Kimble,62,6.7,38.0,0.3,29.2,1.5,77.3,0.7,1.2,0.5,0.1,1.2,0
85,Alec Kessler,78,6.0,42.5,0.0,0.0,1.1,67.2,1.5,0.4,0.2,0.3,1.4,0
86,Loy Vaught,73,4.9,48.7,0.0,0.0,0.7,66.2,1.7,0.5,0.3,0.3,0.7,1
87,Tyrone Hill,74,4.0,49.2,0.0,0.0,1.3,63.2,2.1,0.3,0.5,0.4,1.0,1
88,Marcus Liberty,76,6.8,42.1,0.2,29.8,0.8,63.0,1.5,0.8,0.6,0.3,0.9,0
89,Terry Mills,55,5.2,46.5,0.0,0.0,0.9,71.2,1.5,0.6,0.6,0.5,0.8,1
90,Jamal Robinson,47,5.1,44.6,0.0,18.2,1.0,58.8,0.4,2.8,0.7,0.2,1.6,0
91,Henry James,37,6.9,44.1,0.6,40.0,1.4,72.2,0.7,0.9,0.4,0.1,1.0,1
92,Jerrod Mustaf,62,3.7,46.5,0.0,0.0,0.9,64.4,0.8,0.6,0.2,0.2,1.0,0
93,Kevin Pritchard,62,3.7,38.4,0.1,16.1,1.0,80.5,0.3,1.3,0.5,0.1,0.9,0
94,Gerald Glass,51,6.7,43.8,0.0,11.8,1.0,68.4,1.1,0.8,0.6,0.2,0.8,0
95,Larry Robinson,36,4.2,41.3,0.0,0.0,0.4,55.6,0.8,1.0,0.4,0.0,0.8,1
96,Jud Buechler,74,3.1,41.6,0.0,25.0,0.6,65.2,0.8,0.7,0.5,0.2,0.3,1
97,Cedric Ceballos,63,6.7,48.7,0.0,16.7,1.7,66.3,1.2,0.6,0.3,0.1,1.1,1
98,Kyle Anderson,33,2.7,34.8,0.1,27.3,0.3,64.3,0.2,0.8,0.5,0.2,0.3,0
99,Greg Foster,54,3.9,46.0,0.0,0.0,0.8,68.9,1.0,0.7,0.2,0.4,0.8,1
100,Brian Oliver,73,3.7,40.8,0.1,27.8,0.7,73.2,0.2,1.2,0.5,0.1,0.7,0
101,Howard Wright,15,3.1,40.4,0.0,0.0,1.1,66.7,0.8,0.2,0.3,0.3,0.7,0
102,Tony Smith,64,3.4,44.1,0.0,0.0,0.6,70.2,0.4,2.1,0.4,0.2,1.1,1
103,Tate George,56,3.4,41.5,0.0,0.0,0.6,80.0,0.3,1.9,0.5,0.1,0.8,0
104,Rick Calloway,64,3.0,39.1,0.0,0.0,0.9,69.6,0.4,1.0,0.3,0.1,0.8,0
