GP,FGA,FG_percent,3P Made,3P_percent,FTM,FT_percent,OREB,AST,STL,BLK,TOV,TARGET
36,7.6,34.7,0.5,25.0,1.6,69.9,0.7,1.9,0.4,0.4,1.3,0
35,6.7,29.6,0.7,23.5,2.6,76.5,0.5,3.7,1.1,0.5,1.6,0
74,4.7,42.2,0.4,24.4,0.9,67.0,0.5,1.0,0.5,0.3,1.0,0
58,5.5,42.6,0.1,22.6,0.9,68.9,1.0,0.8,0.6,0.1,1.0,1
48,3.0,52.4,0.0,0.0,1.3,67.4,1.0,0.3,0.3,0.4,0.8,1
75,3.5,42.3,0.3,32.5,0.4,73.2,0.2,1.8,0.4,0.0,0.7,0
62,5.8,43.5,0.0,50.0,1.5,81.1,0.5,0.6,0.2,0.1,0.7,1
48,5.4,41.5,0.4,30.0,0.7,87.5,0.8,0.2,0.2,0.1,0.7,1
65,2.4,39.2,0.1,23.3,0.4,71.4,0.2,2.3,0.3,0.0,1.1,0
42,3.5,38.3,0.1,21.4,1.0,67.8,0.4,0.3,0.2,0.0,0.7,0
35,2.4,36.5,0.0,33.3,0.5,81.8,0.5,0.7,0.1,0.1,0.3,0
40,3.0,39.8,0.1,13.6,1.1,77.6,0.5,0.4,0.3,0.1,0.6,1
27,1.3,47.2,0.0,0.0,0.1,28.6,0.6,0.2,0.2,0.6,0.3,1
45,6.0,32.3,1.1,30.1,0.7,86.1,0.5,0.5,0.5,0.3,0.5,0
44,1.9,53.7,0.0,0.0,0.4,50.0,0.4,0.2,0.2,0.4,0.6,1
40,1.8,51.4,0.1,14.3,0.7,68.4,0.1,1.4,0.3,0.0,0.8,1
49,1.9,37.6,0.0,0.0,0.7,64.2,0.5,0.2,0.3,0.2,0.5,0
41,1.6,34.8,0.1,21.4,0.5,73.1,0.1,1.0,0.3,0.0,0.4,0
82,15.3,49.0,0.1,22.7,4.1,82.9,3.9,3.6,1.0,0.6,1.9,0
82,15.3,49.0,0.1,22.7,4.1,82.9,3.9,3.6,1.0,0.6,1.9,1
80,11.1,52.5,0.0,11.1,2.6,65.4,3.0,2.4,1.1,0.8,2.2,1
82,11.0,48.9,0.0,16.7,2.6,66.6,2.3,2.5,1.5,0.3,2.2,1
76,11.7,37.5,0.1,13.3,1.8,73.0,1.1,2.2,2.0,0.2,2.0,1
61,10.7,45.4,0.7,32.0,1.6,74.8,1.3,4.6,1.0,0.3,2.5,0
32,5.2,53.3,0.0,0.0,0.8,62.5,1.7,0.4,0.5,0.5,1.0,0
76,7.8,51.4,0.0,0.0,2.5,80.7,2.4,1.6,0.7,0.6,1.5,1
52,6.8,45.1,1.1,43.4,2.1,83.6,0.5,3.7,0.6,0.0,1.8,0
76,9.2,41.5,0.0,0.0,1.2,73.6,1.7,1.7,0.8,0.5,1.3,1
78,8.7,44.7,0.7,39.0,1.6,74.1,0.9,2.2,1.2,0.3,1.2,0
51,6.4,49.7,0.0,0.0,2.0,66.7,2.3,0.8,0.5,0.5,1.5,1
64,4.4,55.2,0.0,0.0,1.4,57.2,2.5,0.5,0.4,1.2,0.8,1
55,8.1,52.9,0.0,0.0,1.8,51.5,2.1,0.7,0.4,1.5,1.4,1
82,7.3,41.9,0.0,4.3,1.2,80.6,0.6,3.9,1.0,0.3,1.7,1
48,6.8,52.8,0.0,0.0,2.0,66.9,2.4,0.7,0.8,1.1,1.8,1
34,5.0,30.2,0.4,18.5,0.9,91.2,0.1,3.1,0.6,0.2,1.0,0
42,7.7,40.0,0.7,35.7,1.5,83.3,0.7,1.1,0.8,0.1,1.1,1
